recipe_name,ingredients,preparation_time,cooking_time
Schezwan chutney,"{'KASHMIRI RED CHILLIES': 30, 'HOT WATER': 0, 'OIL': 0.75, 'STAR ANISE': 4, 'GARLIC': 1, 'GINGER': 0.33, 'CELERY': 0.33, 'GREEN CHILLI PASTE': 6, 'SALT': 0, 'KETCHUP': 1, 'RED CHILLI SAUCE': 0.5, 'VINEGAR': 1, 'SOY SAUCE': 1, 'SUGAR': 1, 'AROMAT POWDER': 1, 'WHITE PEPPER POWDER': 1}",15.0,20.0
Champaran mutton,"{'MUSTARD OIL': '0.5', 'KASHMIRI RED CHILLI POWDER': '1.5', 'SPICY RED CHILLI POWDER': '2', 'CORIANDER POWDER': '1', 'TURMERIC POWDER': '0.5', 'CUMIN POWDER': '1', 'GARAM MASALA': '2', 'WHOLE RED CHILLIES': '3-4', 'CINNAMON': '1', 'BLACK PEPPER CORNS': '4-5', 'GREEN CARDAMOM': '3-4', 'BLACK CARDAMOM': '1', 'BAY LEAF': '1-2', 'GINGER GARLIC PASTE': '3', 'GREEN CHILLIES': '3-4', 'ONIONS': '500', 'FRESH CORIANDER': '0', 'SALT': '0', 'MUTTON': '1000', 'WHOLE GARLIC': '2'}",25.0,60.0
Dal Baati Churma,"{'MOONG DAL': '1 cup', 'CHANA DAL': '1/2 cup', 'WHEAT FLOUR': '2 cups', 'GHEE': '1/2 cup', 'SUGAR': '1/2 cup', 'DATES': '1/2 cup', 'DRY FRUITS': '1/4 cup', 'SALT': 'to taste'}",30.0,45.0
Homemade pasta with arrabbiata sauce,"{'REFINED FLOUR': 200, 'SALT': 0.25, 'WATER': 100, 'OLIVE OIL': 2, 'GARLIC': 2, 'BASIL LEAVES': 0, 'RED CHILLI FLAKES': 1, 'OREGANO': 1, 'KASHMIRI RED CHILLI POWDER': 1, 'FRESH TOMATO PUREE': 5, 'CANNED TOMATO PUREE': 200}",35.0,50.0
Dal Baati Churma,"{'MOONG DAL': '1 cup', 'CHANA DAL': '1/2 cup', 'WHEAT FLOUR': '2 cups', 'GHEE': 'as needed', 'SUGAR': '1 cup', 'WATER': 'as needed'}",30.0,60.0
,,,
Peri Peri Oodles,"{'OIL': 1, 'FRENCH BEANS': 2, 'CARROTS': 2, 'CAPSICUM': 2, 'RED BELL PEPPER': 2, 'YELLOW BELL PEPPER': 2, 'BROCCOLI': 2, 'SWEET CORN': 2, 'WATER': 300, 'SAFFOLA OODLES': 1, 'TASTEMAKER': 0, 'PERI PERI SPICE MIX': 1}",15.0,7.0
Jain pav bhaji,"{'Water': 100, 'Asafoetida': 1, 'Kashmiri red chillies': 12, 'Raw banana': 4, 'Butter': 3, 'Oil': 1, 'Cumin seeds': 1, 'Capsicum': 2, 'Tomatoes': 5, 'Green peas': 0.33, 'Cauliflower': 0.5, 'Green chilli paste': 3, 'Coriander powder': 1, 'Turmeric powder': 0.25, 'Kashmiri red chilli powder': 1, 'Pav bhaji masala': 1, 'Fresh coriander': 0, 'Hing water': 3, 'Hot water': 0, 'Salt': 0}",35.0,15.0
Sabudana vada,"{'SABUDANA': 1, 'WATER': 1, 'PEANUTS': 0.75, 'CUMIN SEEDS': 1, 'GREEN CHILLIES': 2.5, 'LEMON JUICE': 0.5, 'SUGAR': 1, 'SALT': 0, 'POTATOES': 3, 'FRESH CORIANDER': 0, 'CURRY LEAVES': 10}",20.0,20.0
Paneer Bhurji,"{'MILK': 1, 'WATER': 0.5, 'VINEGAR': 2, 'BUTTER': 2, 'OIL': 1, 'GRAM FLOUR': 1, 'ONIONS': 2, 'TOMATOES': 2, 'GREEN CHILLIES': 2, 'GINGER': 1, 'SALT': 0, 'TURMERIC POWDER': 0.5, 'RED CHILLI POWDER': 1, 'HOT WATER': 0, 'FRESH CORIANDER': 0, 'FRESH CREAM': 2, 'KASURI METH': 0}",25.0,25.0
Bhindi do pyaza,"{'GHEE': '4 tbsp', 'CUMIN SEEDS': '2 tsp', 'BAY LEAF': '2 nos.', 'CINNAMON STICK': '1 inch', 'BLACK PEPPERCORNS': '4-5 nos.', 'CLOVES': '2 nos.', 'ONION': '3-4 medium sized', 'GINGER GARLIC PASTE': '2 tbsp', 'CORIANDER STALKS': '1 tbsp', 'GREEN CHILLIES': '3 nos.', 'CURD': '1/3 cup', 'TURMERIC POWDER': '¼ tsp', 'KASHMIRI RED CHILLI POWDER': '1 tbsp', 'SPICY RED CHILLI POWDER': '1 tsp', 'CORIANDER POWDER': '2 tbsp', 'CUMIN POWDER': '1 tsp', 'TOMATOES': '7 medium sized', 'LADY FINGER': '250 grams', 'SALT': 'to taste'}",25.0,25.0
Prawn ghee roast,"{'Prawns': '400g', 'TOMATOES': 0, 'CHICKEN': 0, 'Coriander seeds': '2 tbsp', 'Cumin seeds': '1 tsp', 'Black pepper corns': '1 tsp', 'Fenugreek seeds': '1 tsp', 'Mustard seeds': '1 tsp', 'Poppy seeds': '1 tsp', 'Byedgi red chillies': '10-12 nos.', 'Kashmiri red chillies': 0, 'Cashew': '3-4 nos.', 'Jaggery': '1 tbsp', 'Garlic cloves': '8-10 nos.', 'Tamarind paste': '2 tbsp', 'Ghee': '6 tbsp', 'Curry leaves': '10-15 nos.', 'Coriander powder': 'a pinch', 'Turmeric powder': '½ tsp', 'Lemon juice': '1 tsp'}",25.0,30.0
Rajma Chawal,"{'RAJMA': '200g', 'RICE': '1 cup'}",15.0,30.0
Veg bhuna handi,"{'GHEE': '4.5', 'OIL': '2', 'CUMIN SEEDS': '3.5', 'ONIONS': '6', 'GARLIC': '3', 'GINGER': '1', 'GREEN CHILLIES': '2-3', 'CURD': '0.5', 'TURMERIC POWDER': '0.5', 'KASHMIRI RED CHILLI POWDER': '2', 'SPICY RED CHILLI POWDER': '1', 'CORIANDER POWDER': '1', 'CUMIN POWDER': '1', 'TOMATO PUREE': '2', 'SALT': '0', 'FRENCH BEANS': '0.33', 'CARROTS': '0.33', 'BABY CORN': '0.33', 'BROCCOLI': '0.33', 'GREEN PEAS': '0.33', 'SWEET CORN': '0.33', 'ONION': '0.33', 'CAPSICUM': '0.33', 'KASURI METHI': '1', 'GARAM MASALA': '1', 'FRESH CORIANDER': '0'}",20.0,45.0
Chicken Tikka Masala,"{'CHICKEN': '500g', 'ONION': '2', 'TOMATOES': '4', 'GINGER': '1', 'GARLIC': '2'}",30.0,30.0
Dabeli Tacos,"{'CORN MEAL': 1, 'REFINED FLOUR': 0.5, 'SALT': 0, 'TURMERIC POWDER': 0.5, 'WATER': 200, 'OIL': 2, 'CUMIN SEEDS': 1, 'ASAFOETIDA': 0.5, 'GREEN CHILLI PASTE': 1, 'DABELI MASALA': 8, 'BOILED POTATOES': 6, 'TAMARIND PULP': 2, 'GARAM MASALA': 1, 'FRESH CORIANDER': 0, 'MAYONNAISE': 5, 'RED GARLIC CHUTNEY': 2, 'MEETHI CHUTNEY': 1}",35.0,30.0
Eggless mawa cake,"{'SOFT BUTTER': 100, 'CASTOR SUGAR': 20, 'CONDENSED MILK': 200, 'MAWA': 175, 'MILK': 75, 'REFINED FLOUR': 125, 'BAKING POWDER': 1, 'BAKING SODA': 0.5, 'CARDAMOM POWDER': 0.5}",15.0,20.0
French fries,"{'Potaotes': 0, 'Vinegar': 2, 'Salt': 0, 'Black pepper powder': 0, 'Peri peri mix': 0}",20.0,45.0
Dal Baati Churma,"{'MOONG DAL': '1 cup', 'CHANA DAL': '1/2 cup', 'WHEAT FLOUR': '2 cups', 'GHEE': 'as needed', 'SUGAR': '1 cup', 'WATER': 'as needed'}",30.0,60.0
Gujiya,"{'Refined flour': 2, 'Salt': 0, 'Ghee': 1, 'Water': 0.5, 'Mawa': 200, 'Rava': 2, 'Almonds': 3, 'Cashews': 3, 'Pistachio': 3, 'Chironji': 2, 'Dry coconut': 25, 'Jaggery/sugar': 60, 'Cardamom powder': 1, 'Gujiya filling': 0, 'Dough': 0, 'Oil': 0}",30.0,60.0
Punjabi Kadhi Pakoda,"{'Coriander seeds': 6, 'Curd': 2, 'Besan': 1.33, 'Turmeric powder': 1.25, 'Red chilli powder': 0.5, 'Ginger garlic paste': 1, 'Salt': 0, 'Water': 7.5, 'Ghee': 2, 'Cumin seeds': 2, 'Fenugreek seeds': 0.5, 'Black pepper corns': 4.5, 'Whole Kashmiri red chillies': 5, 'Onions': 1, 'Hing': 2, 'Potato': 2, 'Fresh coriander': 0, 'Dry mango powder': 1, 'Baking soda': 0.25}",30.0,35.0
Chicken Biryani,"{'CHICKEN': '500g', 'ONION': '2', 'TOMATOES': '2', 'RICE': '2 cups', 'YOGURT': '1 cup', 'GINGER-GARLIC PASTE': '2 tbsp', 'GREEN CHILLIES': '2', 'BAY LEAF': '2', 'CLOVES': '4', 'CINNAMON': '1 inch', 'CARDAMOM': '4', 'SALT': 'to taste', 'OIL': '2 tbsp'}",30.0,45.0
Potli Samosa,"{'REFINED FLOUR': 2, 'SALT': 0, 'CARAWAY SEEDS': 0.5, 'GHEE': 3, 'WATER': 0.5, 'CORIANDER SEEDS': 1, 'CUMIN SEEDS': 2, 'FENNEL SEEDS': 1, 'GINGER CHILLI PASTE': 1, 'GREEN PEAS': 0.33, 'POTATOES': 7, 'BLACK PEPPER POWDER': 1, 'DRY MANGO POWDER': 1, 'KASURI METHI': 1, 'FRESH CORIANDER': 0}",20.0,50.0
Mumbai Kheema Pav,"{'ONIONS': 6, 'GINGER': 4, 'MUTTON': 1000, 'GREEN PEAS': 0.5, 'DILL': 0.25, 'BUTTER': 2}",15.0,45.0
Paneer makhani burger,"{'ONIONS': 3, 'GARLIC': 2, 'GINGER': 1, 'GREEN CHILLIES': 2, 'GREEN CARDAMOM': 2, 'BAY LEAF': 2, 'CORIANDER STEM': 2, 'KASHMIRI RED CHILLIES': 8, 'TOMATOES': 8, 'CASHEW NUTS': 12, 'TURMERIC POWDER': 0.25, 'KASHMIRI RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'BUTTER': 2, 'OIL': 1, 'GARAM MASALA': 1, 'KASURI METHI POWDER': 0.01, 'HONEY': 1, 'FRESH CREAM': 3, 'REFINED FLOUR': 0.5, 'CORN FLOUR': 3, 'GINGER GARLIC PASTE': 1, 'CUMIN POWDER': 1, 'DRY MANGO POWDER': 0.5, 'BLACK SALT': 0.5, 'KASURI METHI': 0.25, 'PANEER': 500, 'PANCO BREAD CRUMBS': 1}",30.0,40.0
Veg manchurian dry,"{'CABBAGE': 1, 'CARROT': 0.5, 'FRENCH BEANS': 0.5, 'SPRING ONION GREENS': 2, 'FRESH CORIANDER': 'small handful', 'GINGER': 1, 'GARLIC': 2, 'LIGHT SOY SAUCE': 1, 'RED CHILLI SAUCE': 1, 'BUTTER': 1, 'CORN FLOUR': 1, 'REFINED FLOUR': 3, 'ONIONS': 2, 'GREEN CHILLIES': 2, 'CAPSICUM': 2, 'STOCK': 150, 'GREEN CHILLI PASTE': 3, 'DARK SOY SAUCE': 1, 'VINEGAR': 1, 'SPRING ONION BULBS': 2}",35.0,30.0
Veg Hara Bhara Kebab,"{'SPINACH': 1, 'GREEN PEAS': 0.5, 'GHEE': 1, 'CUMIN SEEDS': 1, 'GINGER': 1, 'GARLIC': 2, 'GREEN CHILLIES': 2, 'FRENCH BEANS': 0.33, 'CARROTS': 0.33, 'CAULIFLOWER': 0.33, 'POTATO': 1, 'PANEER': 50, 'SPICY RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'CUMIN POWDER': 1, 'RAW MANGO POWDER': 0.5, 'KASURI METHI': 1, 'GARAM MASALA': 1, 'FRESH CORIANDER': 1, 'FRESH MINT': 2, 'BREAD CRUMBS': 4, 'CORN FLOUR': 1, 'CASHEW NUTS': 0}",15.0,25.0
Noodles Frankie,"{'REFINED FLOUR': 2, 'CURD': 0.25, 'SALT': 0.5, 'OIL': 3, 'RED ONION': 0.33, 'GARLIC': 1, 'GINGER': 1, 'GREEN CHILLI PASTE': 1, 'CABBAGE': 0.33, 'CAPSICUM': 0.33, 'CARROTS': 0.33, 'SPRING ONION BULBS': 2, 'SUGAR': 0, 'BOILED NOODLES': 2, 'SCHEZWAN SAUCE': 2, 'KETCHUP': 1, 'RED CHILLI SAUCE': 1, 'LIGHT SOY SAUCE': 0.5, 'VINEGAR': 1, 'WHITE PEPPER POWDER': 0, 'SPRING ONION GREEN': 0.66, 'KASHMIRI RED CHILLI POWDER': 3, 'TURMERIC POWDER': 1, 'CORIANDER POWDER': 2, 'BLACK SALT': 1.5, 'ANARDANA POWDER': 1, 'RAW MANGO POWDER': 3, 'CUMMIN POWDER': 1, 'GARAM MASALA': 2, 'BLACK PEPPER': 0.5}",25.0,25.0
Veg lasagna,"{'OLIVE OIL': 6, 'ONION': 1, 'GARLIC': 2, 'TOMATOES': 4, 'SALT': 0, 'CHILLI FLAKES': 2, 'OREGANO': 2, 'SUGAR': 2, 'BLACK PEPPER': 2, 'BASIL LEAVES': 0, 'BUTTER': 30, 'REFINED FLOUR': 200, 'MILK': 400, 'NUTMEG': 1, 'CARROT': 1, 'ZUCCHINI': 1, 'MUSHROOM': 1, 'YELLOW BELL PEPPER': 1, 'GREEN BELL PEPPER': 1, 'RED BELL PEPPER': 1, 'CORN KERNELS': 1, 'BROCCOLI': 1, 'WATER': 0}",0.0,45.0
Peri Peri Panini,"{'PANEER': '100gm', 'CAPSICUM': '1/3 cup', 'ONION': '1/3 cup', 'CABBAGE': '1/3 cup', 'SWEET CORN KERNELS': '1/3 cup', 'GREEN CHILLIES': '2-3 nos', 'PROCESSED CHEESE': '60-75gms'}",0.0,0.0
Paneer Kathi Roll,"{'REFINED FLOUR': 2, 'SUGAR': 1.5, 'SALT': 1, 'GHEE': 2, 'MUSTARD OIL': 2, 'KASHMIRI RED CHILLI POWDER': 1, 'GARAM MASALA': 0.5, 'BLACK SALT': 0.25, 'GINGER GARLIC PASTE': 1, 'LEMON JUICE': 1, 'CURD': 0.33, 'PANEER': 250, 'ONION': 0.33, 'CAPSICUM': 0.33, 'TOMATO': 0.33, 'RED CHILLI POWDER': 0}",0.0,0.0
Chicken Shawarma Sev Puri,"{'CHICKEN': '500gm', 'CURD': '1/3 cup', 'MAYONNAISE': '¼ cup', 'GARLIC': '2-3 nos.', 'VINEGAR': '1 tsp', 'POWDERED SUGAR': '½ tsp', 'SALT': 'to taste', 'BLACK PEPPER': '1 pinch', 'FRESH CORIANDER': '1 tsp', 'KASHMIRI RED CHILLIES': '15-20 whole', 'GREEN CHILLIES': '2 nos.', 'JEERA POWDER': '1 tsp', 'BLACK SALT': '½ tsp', 'OLIVE OIL': '1 tbsp', 'WATER': '50 ml', 'CHICKEN BREASTS': '500gm', 'GARLIC PASTE': '1 tbsp', 'RED CHILLI POWDER': '1 tsp', 'CORIANDER POWDER': '1.5 tbsp', 'CUMMIN POWDER': '1.5 tbsp', 'CINNAMON POWDER': '1 pinch', 'CARDAMOM POWDER': '1 pinch', 'OIL': '2 tbsp', 'PURI': 'as required', 'FRESH LETTUCE': '', 'PICKLED BEETROOT': '', 'POTATO SALLI': ''}",0.0,0.0
Jhal Muri,"{'PUFFED RICE': 0, 'SEV': 0, 'CHANA CHUR': 0, 'DRY COCONUT': 0, 'SPROUTED BLACK CHANA': 0, 'BOILED WHITE VATANA': 0, 'GREEN CHILLIES': 0, 'BOILED POTATO': 0, 'TOMATOES': 0, 'ONIONS': 0, 'CUMIN SEEDS': 2, 'CORIANDER SEEDS': 2, 'FENNEL SEEDS': 2, 'GREEN CARDAMOM': 4}",15.0,5.0
Red Velvet Cupcake,"{'BUTTER': 100, 'CASTOR SUGAR': 15, 'VANILLA ESSENCE': 5, 'CONDENSED MILK': 200, 'MILK': 75, 'FLOUR': 125, 'YOGURT': 55, 'BAKING SODA': 1, 'COCOA POWDER': 1, 'VINEGAR': 0.5, 'FOOD COLOURING': 1}",15.0,25.0
Kolhapuri Misal,"{'Sprouted moth': '3 cups', 'Haldi powder': '1/4 TSP', 'SALT': 'to taste', 'Water': '1.5 - 2 litres', 'Oil': '1 tbsp', 'Jeera': '1 tbsp', 'Shah jeera': '1 TSP', 'Coriander': '1 TBSP', 'DALCHINI': '1/2 inch', 'Hari elaichi': '2 nos.', 'Badi elaichi': '1 no.', 'Black peppercorns': '1 TSP', 'Cloves': '3-4 nos.', 'Ginger': '1/2 inch', 'Garlic': '10 -12 cloves', 'White Sesame': '1 TBSP', 'Poppy seeds': '1 TBSP', 'Onions': '1 medium sized', 'Dry coconut': '1/2 no.', 'Fresh coconut': '1/4th cup (grated)', 'Kanda Lehsun masala': '1 tbsp', 'Kashmiri red chilli powder': '1 tsp', 'Turmeric powder': '¼ tsp', 'Mustard seeds': '1/2 TSP', 'Green chillies': '1-2 nos. (chopped)', 'Salt': 'to taste', 'Fresh coriander': 'handful (chopped)', 'Cumin seeds': '1/2 tsp', 'Greens chillies': '1-2 nos. CHOPPED', 'Curry leaves': '10-12 leaves', 'Boiled potatoes': '5-6 medium sized'}",35.0,50.0
Kolhapuri Kanda Lehsun Masala,"{'Whole kashmiri red chilli': 75, 'Whole byadgi red chilli': 60, 'Lavangi mirchi': 120, 'Coriander seeds': 60, 'Cumin seeds': 25, 'Caraway seeds': 3, 'Fennel seeds': 12, 'Mustard': 12, 'Sesame seeds': 12, 'Poppy seeds': 12, 'Bay leaf': 5, 'Cinnamon': 5, 'Star anise': 5, 'Clove': 5, 'Black peppercorn': 12, 'Black cardamom': 3, 'Green cardamom': 3, 'Mace': 3, 'Triphal': 3, 'Mesua ferrea': 3, 'Oil': '3-4 tbsp', 'Turmeric': 12, 'Asafoetida': 3, 'Fenugreek seeds': 3, 'Stone flower': 3, 'Onions': 75, 'Garlic cloves': 60, 'Ginger': 25, 'Fresh coriander': 0, 'Fresh coconut': 60, 'Salt': 40, 'Ginger powder': 12, 'Nutmeg powder': 1}",15.0,25.0
Spicy Mexican Burger,"{'ONIONS': '1/3 cup', 'GARLIC': '2 tbsp', 'GREEN CHILLIES': '1-2 nos.', 'CARROTS': '1/3 cup', 'FRENCH BEANS': '1/3 cup', 'MUSHROOMS': '1/3 cup', 'CAPSICUM': '1/3 cup', 'BLACK BEANS': '1 cup', 'COOKED RICE': '1 cup', 'FRESH CORIANDER': 'small handful', 'RED CHILLI SAUCE': '2 tsp', 'MEXICAN SEASONING': '2 tbsp', 'SALT': 'to taste', 'BREADCRUMBS': '1/4 cup'}",0.0,0.0
Anda Ghotala,"{'OIL': 1, 'BUTTER': 2, 'ONION': 0.5, 'GREEN GARLIC': 0.25, 'FRESH CORIANDER': 1, 'GREEN CHILLI PASTE': 1, 'TURMERIC POWDER': 1, 'CORIANDER POWDER': 0.5, 'JEERA POWDER': 0.5, 'GARAM MASALA': 1, 'RED CHILLI POWDER': 1, 'BLACK PEPPER POWDER': 1, 'BOILED EGG': 2, 'SALT': 0, 'HOT WATER': 0, 'EGG': 1}",15.0,12.0
Jini dosa,"{'UKDHA CHAWAL': 200, 'URAD DAL': 50, 'METHI SEEDS': 0.25, 'BESAN': 50, 'SOOJI': 50, 'BUTTER': 1, 'OIL': 1, 'CUMIN SEEDS': 0.5, 'ONIONS': 2, 'TOMATOES': 2, 'CAPSICUM': 1, 'CABBAGE': 1, 'SCHEZWAN CHUTNEY': 4, 'KETCHUP': 2, 'RED CHILLI SAUCE': 1, 'GARAM MASALA': 1, 'KASHMIRI RED CHILLI POWDER': 1, 'PANEER': 80, 'PROCESSED CHEESE': 0, 'FRESH CORIANDER': 1, 'SPRING ONION GREEN': 1}",25.0,25.0
Methi Malai Matar,"{'Ghee': '2-3 tbsp', 'Cumin': '1 tsp', 'Cinnamon': '1 inch', 'Bay leaf': '1 nos.', 'Green cardamom': '2-3 pods', 'Onions': '3-4 medium sized', 'Ginger garlic paste': '1 tbsp', 'Green chillies': '1-2 nos.', 'Hing': '1/2 tsp', 'Turmeric powder': '1/2 tsp', 'Kashmiri red chilli powder': '1 tbsp', 'Spicy red chilli': '1 tsp', 'Cumin powder': '1 tsp', 'Coriander Powder': '1 tbsp', 'Tomato': '3-4', 'Salt': 'to taste', 'Green peas': '1.5 cups', 'Fresh methi': '1 small bunch / 2 cups', 'Kasuri methi': '1 tsp', 'Garam masala': '1 tsp', 'Ginger': '1 inch', 'Lemon juice': '1/2 tsp', 'Fresh cream': '3/4 cup', 'Fresh coriander': 'small handful'}",15.0,30.0
Burnt Garlic Fried Rice,"{'GARLIC': '2 tbsp', 'SPRING ONION BULBS': '2 tbsp', 'SPRING ONION GREENS': '1 tbsp', 'RICE': '3 cups'}",0.0,0.0
,,,
Dahi wale aloo,"{'POTATOES': 0, 'SALT': 0, 'Sarson ka tel': 3, 'Kashmiri lal mirchi': 2, 'Dhaniya': 2, 'Haldi': 0.75, 'Jeera': 2, 'Kasuri methi': 1, 'Fennel powder': 1, 'Kala namak': 0.25, 'Oil': 0, 'Kaju': 0.25, 'Magaj': 0.25, 'Dahi': 2, 'Teekhi lal mirchi': 1, 'Laung': 3, 'Choti elaichi': 3, 'Hari mirchi': 3, 'Adrak': 1, 'Garam masala': 0.5, 'Fresh coriander leaves': 0}",20.0,25.0
Green Thai Curry,"{'SUKHA DHANIYA': 1, 'JEERA': 1, 'SAFE MIRCH': 1, 'GALANGAL': 2, 'FRESH TURMERIC': 0.5, 'LEMON GRASS': 2, 'LEHSUN': 10, 'MADRAS PYAAZ': 4, 'HARI MIRCHI': 10, 'KAFIR LIME SKIN': 1, 'FRESH CORIANDER ROOTS': 4, 'COCONUT MILK': 1000, 'BABY CORN': 0.5, 'MUSHROOM': 0.5, 'BROCCOLI': 0.5, 'GAJAR': 0.5, 'SHIMLA MIRCH': 0.33, 'LAL SHIMLA MIRCH': 0.33, 'BROWN SUGAR': 2}",20.0,30.0
Veg Patiala,"{'ONIONS': 8, 'TOMATOES': 5, 'GINGER': 2.5, 'GARLIC': 6, 'GREEN CHILLIES': 7, 'OIL': 5, 'JEERA': 1, 'FRESH CORIANDER': 1, 'TURMERIC POWDER': 1, 'KASHMIRI RED CHILLI POWDER': 2, 'SALT': 0, 'CASHEW NUTS': 15, 'MELON SEEDS': 2, 'LAUNG': 2, 'BAY LEAF': 1, 'BLACK CARDAMOM': 1, 'PANEER': 200, 'PROCESSED CHEESE': 50, 'ANARDANA': 1, 'KASURI METHI': 1, 'HARA DHANIYA': 1, 'HARA PUDINA': 1}",35.0,45.0
Ragda pattice,"{'TAMARIND': 0.5, 'DATES': 250, 'JAGGERY': 750, 'SALT': 0, 'BLACK SALT': 1, 'GINGER POWDER': 0.5, 'KASHMIRI RED CHILLI POWDER': 1, 'JEERA POWDER': 1, 'BLACK PEPPER': 0, 'WATER': 1000, 'CORIANDER LEAVES': 1, 'MINT LEAVES': 0.5, 'GINGER': 0.5, 'GREEN CHILLIES': 1.5, 'ROASTED CHANA DAL': 1, 'KALA NAMAK': 0.5, 'AMCHUR': 1, 'ICE CUBES': 2.5, 'WHITE PEAS': 250, 'TURMERIC POWDER': 0.5, 'CUMIN POWDER': 0.5, 'CORIANDER POWDER': 0.5, 'FENNEL POWDER': 0.5, 'FRESH CORIANDER': 0, 'OIL': 1, 'POTATOES': 5.5}",25.0,35.0
Onion rings,{'ONION': 1},25.0,25.0
Crispy veggie burger,"{'POHA': '1/3rd cup', 'OIL': '1 tbsp', 'BUTTER': 'for toasting', 'PYAAZ': '½ medium sized', 'GARLIC': '1 tbsp', 'FARSI': '1/3rd cup', 'GAJAR': '1/3rd cup', 'HARE MATAR': '1/3rd cup', 'HARI MIRCHI': '1-2 nos.', 'HALDI': '½ tsp', 'LAL MIRCH': '1 tsp', 'AAMCHUR': '2 tsp', 'JEERA': '1 tsp', 'GARAM MASALA': 'a pinch', 'UBLE HUE ALOO': '5-6 medium sized', 'SALT': 'to taste', 'Coriander leaves': 'a handful', 'MAIDA': '1 cup', 'CORN FLOUR': '½ cup', 'COLD WATER': 'as required', 'BREAD CRUMBS': 'as required', 'VEGGIE PATTY MIXTURE': 'as required', 'BURGER BUNS': 'as required', 'MAYONNAISE': 'as required', 'LETTUCE': 'as required', 'CRISPY VEGGIE PATTY': 'as required'}",25.0,35.0
Chicken manchurian,"{'CHICKEN': '400gm', 'RED BELL PEPPER': '1', 'CAPSICUM': '1', 'ONIONS': '1', 'GARLIC': '2 tbsp', 'GINGER': '1 tbsp', 'GREEN CHILLIES': '2-3', 'OYSTER SAUCE': '1 tbsp', 'BROWN SUGAR': '2 tsp', 'CORNFLOUR': '2 tbsp', 'SPRING ONION GREENS': '1 tbsp'}",15.0,15.0
Plum cake,"{'KAALE KISHMISH': 50, 'BHURE KISHMISH': 50, 'HARE KISHMISH': 50, 'DRIED BLUEBERRIES': 25, 'TUTTI FRUITY': 0, 'CHEENI': 0.25, 'GUD': 0.25, 'MAIDA': 140, 'SALT': 0.25, 'DALCHINI': 0.5, 'LAUNG': 0.25, 'JAIPHAL': 0.25, 'SAUNTH': 0.5, 'BAKING POWDER': 0.5, 'BAKING SODA': 0.125, 'MAKKHAN': 100, 'BROWN SUGAR': 1, 'CONDENSED MILK': 140, 'BADAM': 40, 'DRIED CRANBERRIES': 0, 'WALNUTS': 0, 'ALMONDS': 0}",25.0,60.0
Shahi paneer,"{'Oil': '2 tsp', 'Makhhan (butter)': '2 tbsp', 'Jeera (cumin seeds)': '1 tsp', 'Tej patta (bay leaf)': '1 no.', 'Sabut kaali mirch (black peppercorns)': '2-3 nos.', 'Dalchini (cinnamon)': '1 inch', 'Choti elaichi (green cardamom)': '3-4 pods', 'Badi elaichi (black cardamom)': '1 no.', 'Laung (cloves)': '2 nos.', 'Pyaaz (onions)': '2 medium sized', 'Tamatar (tomatoes)': '4 medium sized', 'Sabut kashmiri lal mirch (whole kashmiri red chilli)': '2 -3 nos.', 'Lehsun (garlic)': '4-5 nos.', 'Adrak (ginger)': '1 inch', 'Hari mirchi (green chillies)': '3-4 nos.', 'Hare dhaniye ke danthal (coriander stems)': 'a few', 'Kaju (cashew nuts)': '18-20 nos.', 'Salt': 'to taste', 'Dahi (curd)': '½ cup', 'Haldi (turmeric) powder': '½ tsp', 'Dhaniya (coriander) powder': '2 tsp', 'Kashmiri lal mirch (red chilli) powder': '4 tsp', 'Jeera (cumin) powder': '1 tsp', 'Paneer': '500-600 grams', 'Garam masala': '1 tsp', 'Kasuri methi': '1 tsp', 'Fresh coriander': 'as required', 'Fresh cream': '4-5 tbsp'}",25.0,40.0
